SITC;PRODUCT DESCRIPTION;YEAR;IMPORT (RM);;
1790;"MEAT OR MEAT OFFAL (INCL. PREPARATIONS OF BLOOD OF ANY ANIMALS); N.E.S IN GROUP 016 AND 017, PREPARED OR PRESERVED";2020;623570;;
2211;"MILK (INCLUDING SKINNED MILK); NOT CONCENTRATED OR SWEETENED, OF A FAT CONTENT, BY WEIGHT, NOT EXCEEDING 1%";2020;3439362;;
2212;"MILK (INCLUDING SKINNED MILK) AND CREAM; NOT CONCENTRATED OR SWEETENED, OF A FAT CONTENT, BY WEIGHT, EXCEEDING 1% BUT NOT EXCEEDING 6%";2020;91078252;;
2213;"CREAM; NOT CONCENTRATED OR SWEETENEDOF A FAT CONTENT, BY WEIGHT, EXCEEDING 6%";2020;227093098;;
2221;"MILK; CONCENTRATED OR SWEETENED, IN SOLID FORM, OF A FAT CONTENT, BY WEIGHT, NOT EXCEEDING 1.5%";2020;1412259467;;
2222;"MILK AND CREAM; CONCENTRATED OR SWEETENED, IN SOLID FORM, OF A FAT CONTENT, BY WEIGHT, EXCEEDING 1.5%";2020;739607011;;
2223;"MILK AND CREAM; CONCENTRATED OR SWEETENED, NOT IN SOLID FORM, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER";2020;6036598;;
2224;"MILK AND CREAM; CONCENTRATED OR SWEETENED, NOT IN SOLID FORM, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER";2020;15467347;;
2231;"YOGURT; WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR FLAVOURED OR CONTAINING ADDED FRUITS, NUTS OR COCOA";2020;28166710;;
2232;BUTTERMILK, CURDLED MILK AND CREAM, KEPHIR AND OTHER FERMENTED OR ACIDIFIED MILK OR CREAM, WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR FLAVOURED OR CONTAINING ADDED FRUITS, NUTS OR COCOA;2020;120674989;;
2233;ICE-CREAM AND OTHER EDIBLE ICE, WHETHER OR NOT CONTAINING COCOA;2020;244078843;;
2241;WHEY AND MODIFIED WHEY, WHETHER OR NOT CONCENTRATED OR CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER;2020;410046099;;
2249;PRODUCTS CONSISTING OF NATURAL MILK CONSTITUENTS, N.E.S.;2020;10368283;;
2300;"BUTTER AND OTHER FATS AND OILS; DERIVED FROM MILK";2020;424138576;;
2410;"CHEESE; GRATED OR POWDERED , OF ALL KINDS";2020;89123244;;
2420;"CHEESE; NOT GRATED OR POWDERED, PROCESSED";2020;294998463;;
2430;"CHEESE; BLUE-VEINED AND OTHER CHEESE CONTAINING VEINS";2020;432445;;
2491;"CHEESE; FRESH (UNRIPENED OR UNCURED), INCLUDING WHEY CHEESE, AND CURD";2020;101871276;;
2499;"CHEESE; N.E.S IN SITC 024.10 TO 024.91";2020;202138707;;
2510;BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED;2020;142861;;
2517;BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED, OF DUCK;2020;577185;;
2521;"BIRDS' EGGS; NOT IN SHELL AND EGG YOLKS, DRIED";2020;6451022;;
2522;"BIRDS' EGGS; NOT IN SHELL AND EGG YOLKS, OTHER THAN DRIED";2020;491548;;
2530;EGG ALBUMIN;2020;14964181;;
3411;"FISH; LIVE";2020;50214346;;
3412;"FISH; SALMONIDAE, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)";2020;130405722;;
3413;"FISH; FLAT-FISH, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)";2020;34425331;;
3414;"FISH; TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)";2020;894997;;
3415;"FISH; HERRINGS, SARDINES, SARDINELLA, BRISLINGS OR SPRATS, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)";2020;165494;;
3416;"FISH; COD, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)";2020;18857;;
3417;MACKEREL (SCOMBRIDS), FRESH OR CHILLED (EXCLUDING LIVERS AND ROES);2020;3897731;;
3418;"FISH; N.E.S IN SUBGROUP 034.1, FRESH OR CHILLED (EXCLUDING LIVERS AND ROES)";2020;526545162;;
3419;"FISH; LIVERS AND ROES, FRESH OR CHILLED";2020;204069;;
3421;"FISH; SALMONIDAE, FROZEN (EXCLUDING LIVERS AND ROES)";2020;96625404;;
3422;"FISH; FLAT-FISH, FROZEN (EXCLUDING LIVERS AND ROES)";2020;6124815;;
3423;"FISH; TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO, FROZEN (EXCLUDING LIVERS AND ROES)";2020;22948087;;
3424;"FISH; HERRINGS, SARDINES, SARDINELLA, BRISLINGS OR SPRATS, FROZEN (EXCLUDING LIVERS AND ROES)";2020;91317455;;
3425;"FISH; COD, FROZEN (EXCLUDING LIVERS AND ROES)";2020;5370061;;
3426;MACKEREL (SCOMBRIDS), FROZEN (EXCLUDING LIVERS AND ROES);2020;193396235;;
3427;HAKE, FROZEN (EXCLUDING LIVERS AND ROES);2020;12881;;
3428;"FISH; N.E.S IN SUBGROUP 034.2, FROZEN (EXCLUDING LIVERS AND ROES)";2020;600731180;;
3429;"FISH; LIVERS AND ROES, FROZEN";2020;15048628;;
3440;"FISH; FILLETS, FROZEN";2020;274420354;;
3451;FISH FILLETS AND OTHER FISH MEAT, FRESH OR CHILLED;2020;12802879;;
3455;"FISH; MEAT (OTHER THAN FILLETS), FROZEN";2020;299341295;;
3511;"FISH; COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS), NOT IN FILLETS, DRIED, WHETHER OR NOT SALTED";2020;25289;;
3512;"FISH; FILLETS, DRIED, SALTED OR IN BRINE";2020;813920;;
3513;"FISH; DRIED, WHETHER OR NOT SALTED, N.E.S.";2020;116721778;;
3522;"FISH; ANCHOVIES, SALTED BUT NOT DRIED OR SMOKED AND IN BRINE";2020;11861686;;
3529;"FISH; N.E.S. IN SUBGROUP 035.2, SALTED BUT NOT DRIED OR SMOKED AND IN BRINE";2020;295403;;
3530;"FISH (INCLUDING FILLETS); SMOKED, WHETHER OR NOT COOKED BEFORE OR DURING THE SMOKING PROCESS";2020;10069904;;
3540;"FISH; DRIED, SMOKED, SALTED OR IN BRINE, LIVER AND ROES";2020;8236903;;
3550;"FISH; MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION";2020;3499387;;
3611;SHRIMPS AND PRAWNS, FROZEN;2020;364148264;;
3619;"CRUSTACEANS; OTHER THAN SHRIMPS AND PRAWNS, FROZEN, INCLUDING FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION";2020;62999296;;
3620;"CRUSTACEANS; OTHER THAN FROZEN, INCLUDING FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION";2020;172038625;;
3631;"OYSTERS; FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE";2020;17959896;;
3633;CUTTLEFISH, OCTOPUS AND SQUID, FRESH OR CHILLED;2020;57146326;;
3635;"MOLLUSCS AND AQUATIC INVERTEBRATES; N.E.S IN SUBGROUP 036.3, FRESH OR CHILLED";2020;27407067;;
3637;"CUTTLEFISH, OCTOPUS AND SQUID; FROZEN, DRIED, SALTED OR IN BRINE; FLOURS, MEALS AND PELLETS THEREOF, FIT FOR HUMAN CONSUMPTION";2020;305531200;;
3639;"MOLLUSCS AND AQUATIC INVERTEBRATES; N.E.S IN SUBGROUP 036.3, FROZEN, DRIED, SALTED OR IN BRINE, INCLUDING FLOURS, MEALS, FIT FOR HUMAN CONSUMPTION";2020;336665781;;
3711;"FISH; SALMON, WHOLE OR IN PIECES, BUT NOT MINCED";2020;2343303;;
3712;"FISH; HERRINGS, SARDINES, SARDINELLA AND BRISLINGS OR SPRATS, WHOLE OR IN PIECES, BUT NOT MINCED";2020;98510327;;
3713;"FISH; TUNAS, SKIPJACK AND ATLANTIC BONITO (SARDA SPP.), WHOLE OR IN PIECES, BUT NOT MINCED";2020;78211740;;
3714;"FISH; MACKEREL, WHOLE OR IN PIECES, BUT NOT MINCED";2020;14772860;;
3715;"FISH; N.E.S IN SUBGROUP 037.1, WHOLE OR IN PIECES, BUT NOT MINCED";2020;211350932;;
3716;"FISH; N.E.S IN SUBGROUP 037.1, PREPARED OR PRESERVED, N.E.S.";2020;108972888;;
3717;CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS;2020;2380166;;
3721;"CRUSTACEANS; PREPARED OR PRESERVED, N.E.S.";2020;19174821;;
3722;MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED, N.E.S.;2020;124313126;;
4110;"WHEAT; DURUM , UNMILLED";2020;289715343;;
4120;"WHEAT; OTHER THAN DURUM, INCLUDING SPELT AND MESLIN, UNMILLED";2020;1296867385;;
4210;"RICE; IN THE HUSK, (PADDY OR ROUGH RICE)";2020;1126;;
4220;"RICE; HUSKED, BUT NOT FURTHER PREPARED, (CARGO RICE OR BROWN RICE)";2020;24252934;;
4231;"RICE; SEMI-MILLED OR WHOLLY MILLED, WHETHER OR NOT POLISHED, GLAZED, PARBOILED OR CONVERTED (EXCLUDING BROKEN RICE)";2020;2441793960;;
4232;BROKEN RICE;2020;10066008;;
4300;"BARLEY; UNMILLED";2020;11261259;;
4410;"MAIZE; NOT INCLUDING SWEET CORN, UNMILLED, SEED";2020;1478606324;;
4490;"MAIZE; NOT INCLUDING SWEET CORN, UNMILLED, OTHER THAN SEED";2020;1846309735;;
4520;"CEREALS; OATS, UNMILLED";2020;37319487;;
4530;"CEREALS; GRAIN SORGHUM, UNMILLED";2020;1426476;;
4591;"CEREALS; MILLET, UNMILLED";2020;18641438;;
4592;"CEREALS; BUCKWHEAT, UNMILLED";2020;10120930;;
4593;"CEREALS; CANARY SEED, UNMILLED";2020;69724;;
4599;"CEREALS; N.E.S IN DIVISION 04, UNMILLED";2020;3987952;;
4610;"FLOUR; OF WHEAT OR OF MESLIN";2020;169250750;;
4620;"GROATS AND MEAL; OF WHEAT";2020;246310651;;
4711;"CEREALS; MAIZE (CORN) FLOUR";2020;16008101;;
4719;"CEREAL FLOURS; OTHERT THAN MAIZE FLOUR, OTHER THAN OF WHEAT OR MESLIN";2020;108112081;;
4721;"CERAELS; GROATS AND MEAL, OF MAIZE (CORN)";2020;248368635;;
4722;"CEREALS; GROATS AND MEAL OF OTHER CEREALS, OTHER THAN MAIZE (CORN)";2020;1613007;;
4723;PELLETS;2020;45989;;
4811;"CEREAL GRAINS; WORKED OR PREPARED, OBTAINED BY THE SWELLING OR ROASTING AND FROM UNROASTED FLAKES OR MIXTURES OF UNROASTED AND ROASTED OR SWELLED";2020;107322288;;
4812;"CEREAL GRAINS; WORKED OR PREPARED, OTHER THAN MAIZE (CORN), IN GRAIN FORM, PRECOOKED OR OTHERWISE PREPARED";2020;16392954;;
4813;"CEREAL GRAINS; WORKED OR PREPARED, OTHER ROLLED OR FLAKED CEREAL GRAINS, EXCEPT RICE OF SUBGROUP 042.3";2020;77500155;;
4814;"CEREAL GRAINS; WORKED OR PREPARED IN A MANNER, N.E.S IN SUBGROUP 048.1, EXCEPT RICE OF SUBGROUP 042.3";2020;23815169;;
4815;GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND;2020;643972;;
4820;"MALT; INCLUDING MALT FLOOR, WHETHER OR NOT ROASTED";2020;63577595;;
4830;"MACARONI, SPAGHETTI AND SIMILAR PRODUCTS (PASTA); UNCOOKED, NOT STUFFED OR OTHERWISE PREPARED";2020;144878462;;
4841;CRISPBREAD, RUSKS, TOASTED BREAD AND SIMILAR PRODUCTS, WHETHER OR NOT CONTAINING COCOA;2020;34482431;;
4842;SWEET BISCUITS, WAFFLES AND WAFERS, GINGERBREAD AND THE LIKE, WHETHER OR NOT CONTAINING COCOA;2020;441030814;;
4849;"BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS' WARES; WHETHER OR NOT CONTAINING COCOA IN ANY PROPORTION; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCT";2020;264077874;;
4850;MIXES AND DOUGHS FOR THE PREPARATION OF BAKERS' WARES OF SUBGROUP 048.4;2020;104302522;;
5410;"VEGETABLES; POTATOES (EXCLUDING SWEET POTATOES), FRESH OR CHILLED";2020;361114487;;
5421;"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, PEAS";2020;63481080;;
5422;"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, CHICK-PEAS";2020;20224570;;
5423;"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, BEANS, OTHER THAN BROAD BEANS AND HORSE BEANS";2020;179820368;;
5424;"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, LENTILS";2020;25063332;;
5425;"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, BROAD BEANS AND HORSE BEANS";2020;7749910;;
5429;"VEGETABLES; LEGUMINOUS, DRIED, SHELLED, WHETHER OR NOT SKINNED OR SPLIT, N.E.S. IN SUBGROUP 054.2";2020;23437187;;
5440;"VEGETABLES; TOMATOES, FRESH OR CHILLED";2020;4273059;;
5451;"VEGETABLES; ONIONS AND SHALLOTS, FRESH OR CHILLED";2020;887351026;;
5452;"VEGETABLES; GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED";2020;514867335;;
5453;"VEGETABLES; CABBAGE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED";2020;614087835;;
5454;"VEGETABLES; LETTUCE AND CHICORY (INCLUDING ENDIVE), FRESH OR CHILLED";2020;17138605;;
5455;"VEGETABLES; CARROTS, TURNIPS, SALAD BEETROOT, SALSIFY, CELERIAC, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED";2020;205695376;;
5456;"VEGETABLES; CUCUMBERS AND GHERKINS, FRESH OR CHILLED";2020;7573070;;
5457;"VEGETABLES; LEGUMINOUS, FRESH OR CHILLED";2020;35102551;;
5458;"VEGETABLES; MUSHROOMS AND TRUFFLES, FRESH OR CHILLED";2020;104249757;;
5459;"VEGETABLES; N.E.S IN SUBGROUP 054.5, FRESH OR CHILLED";2020;243757424;;
5461;"VEGETABLES; UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, SWEET CORN";2020;7004042;;
5469;"VEGETABLES; UNCOOKED OR COOKED BY STEAMING OR BOILING IN WATER, FROZEN, OTHER SWEET CORN, AND MIXTURES OF VEGETABLES";2020;136937028;;
5470;"VEGETABLES; PROVISIONALLY PRESERVED (E.G., BY SULPHUR DIOXIDE GAS, IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS), BUT UNSUITABLE IN THE STATE FOR IMMEDIATE CONSUMPTION";2020;17842582;;
5481;"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, MANIOC (CASSAVA)";2020;3876915;;
5483;"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, ARROWROOT, SALEP, JERUSALEM ARTICHOKES, SWEET POTATOES AND SIMILAR ROOTS AND TUBERS (OTHER THAN MANIOC) WITH HIGH STARCH OR INULIN CONTENT WHETHER OR NOT SLIC";2020;123089374;;
5484;"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, HOP CONES AND LUPULIN";2020;136779;;
5487;"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH OR DRIED, SUGAR BEET, WHETHER OR NOT GROUND";2020;77496;;
5489;"VEGETABLES PRODUCTS; ROOTS AND TUBERS, CHIEFLY FOR HUMAN FOOD, N.E.S., FRESH, DRIED OR CHILLED, N.E.S IN SUBGROUP 054.8";2020;9394286;;
5612;"VEGETABLES; EXCLUDING LEGUMINOUS VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, ONIONS";2020;22367213;;
5613;"VEGETABLES; EXCLUDING LEGUMINOUS VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, MUSHROOMS, WOOD EARS, JELLY FUNGI AND TRUFFLES";2020;120536047;;
5619;"VEGETABLES; EXCLUDING LEGUMINOUS VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED, N.E.S IN SUBGROUP 056.1; MIXTURES OF VEGETABLES";2020;57332947;;
5641;"FLOUR AND MEAL; OF POTATOES";2020;7009442;;
5642;"FLAKES, GRANULES AND PELLETS; OF POTATOES";2020;214973466;;
5645;"FLAKES, GRAINS, PEARLS, SIFTINS OR SIMILAR FORMS; TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH";2020;32957296;;
5646;"FLOUR AND MEAL; OF THE DRIED LEGUMINOUS VEGETABLES OF SUBGROUP 054.2";2020;570266;;
5647;"FLOUR AND MEAL; OF SAGO, ROOTS OR TUBERS OF HEADINGS 054.81 AND 054.83";2020;28413762;;
5648;"FLOUR, MEAL AND POWDER; OF THE PRODUCTS OF ANY HEADING OF GROUP 057";2020;16575310;;
5661;"VEGETABLES; POTATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN";2020;367790934;;
5669;VEGETABLES, OTHER THAN POTATOES AND MIXTURES OF VEGETABLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN;2020;24710546;;
5671;"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS; PREPARED OR PRESERVED BY VINEGAR OR ACETIC";2020;13173710;;
5672;"VEGETABLES; TOMATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, WHOLE OR IN PIECES";2020;6262446;;
5673;"VEGETABLES; TOMATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, OTHER THAN WHOLE OR IN PIECES";2020;66069358;;
5674;"MUSHROOMS AND TRUFFLES; PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID";2020;57122397;;
5676;"VEGETABLES; POTATOES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN";2020;76026995;;
5677;"VEGETABLES; SWEET CORN, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID";2020;32042567;;
5679;"VEGETABLES; N.E.S IN SUBGROUP 056.7, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN";2020;98073105;;
5711;"FRUIS; ORANGES, FRESH OR DRIED";2020;346838888;;
5712;"FRUITS; MANDARINS (INCLUDING TANGERINES AND SATSUMAS); CLEMENTINES, WILKINGS AND SIMILAR CITRUS HYBRIDS, FRESH OR DRIED";2020;190238803;;
5721;"FRUITS; CITRUS, LEMONS AND LIMES, FRESH OR DRIED";2020;111746966;;
5722;"FRUITS; GRAPEFRUIT, FRESH OR DRIED";2020;7508219;;
5729;"FRUITS; CITRUS, N.E.S. IN SUBGROUP 057.2, FRESH OR DRIED";2020;753516;;
5730;"FRUITS; BANANAS (INCLUDING PLANTAINS), FRESH OR DRIED";2020;62120678;;
5731;BANANAS (INCLUDING PLANTAINS), FRESH OR DRIED;2020;40000;;
5740;"FRUITS; APPLES, FRESH";2020;477452605;;
5751;"FRUITS; GRAPES, FRESH";2020;355464835;;
5752;"FRUITS; GRAPES, DRIED (E.G., RAISINS)";2020;46324030;;
5760;"FRUITS; FIGS, FRESH OR DRIED";2020;7138454;;
5771;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, COCONUTS";2020;322229630;;
5772;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, BRAZIL NUTS";2020;211380;;
5773;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, CASHEW NUTS";2020;73496169;;
5774;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, ALMONDS";2020;116095365;;
5775;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, HAZELNUTS OR FILBERTS";2020;3626959;;
5776;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, WALNUTS";2020;22642091;;
5777;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, CHESTNUTS";2020;9218124;;
5778;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, PISTACHIOS";2020;29584946;;
5779;"NUTS; EDIBLE NUTS, EXCLUDING NUTS CHIEFLY NEED FOR THE EXTRACTION OF OIL), FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED, N.E.S IN SUBGROUP 057.7";2020;40790184;;
5791;"FRUITS; MELONS (INCLUDING WATER MELONS) AND PAPAWS (PAPAYAS), FRESH";2020;30731022;;
5792;"FRUITS; PEARS AND QUINCES, FRESH";2020;163920350;;
5793;"FRUITS; APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS AND SLOES, FRESH";2020;84533630;;
5794;"FRUITS; STRAWBERRIES, RASPBERRIES, BLACKBERRIES, MULLBERRIES, LOGANBERRIES, CRANBERRIES, BILLBERRIES AND OTHER FRUITS OF THE GENUS VACCINIUM, FRESH";2020;85028425;;
5795;"FRUITS; PINEAPPLES, FRESH OR DRIED";2020;3349673;;
5796;"FRUITS; DATES, FRESH OR DRIED";2020;246780888;;
5797;AVOCADOS, GUAVAS, MANGOES AND MANGOSTEENS, FRESH OR DRIED;2020;152607007;;
5798;"FRUITS; N.E.S IN SUBGROUP 057.9, FRESH";2020;252539534;;
5799;"FRUIT; DRIED, N.E.S. IN SUBGROUP 057.9, AND MIXTURES, N.E.S., OF NUTS OR DRIED FRUITS OF GROUP 057";2020;104158897;;
5810;"FRUITS PREPARATIONS; JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER, NOT INCLUDING HOMOGENIZED PREPARATIONS";2020;86893495;;
5821;"FRUIT AND NUTS; PROVISIONALLY PRESERVED (E.G., BY SULPHUR DIOXIDE GAS, IN BRINE, IN SULPHUR WATER OR IN OTHER PRESERVATIVE SOLUTIONS), BUT INSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION";2020;1041806;;
